CustomerID,Gender,Age,Annual_Income,Spending_Score,Cluster,Cluster_Name
44,Female,31,39000,61,0,Core Customer Base
47,Female,50,40000,55,0,Core Customer Base
48,Female,27,40000,47,0,Core Customer Base
49,Female,29,40000,42,0,Core Customer Base
50,Female,31,40000,42,0,Core Customer Base
51,Female,49,42000,52,0,Core Customer Base
52,Male,33,42000,60,0,Core Customer Base
53,Female,31,43000,54,0,Core Customer Base
54,Male,59,43000,60,0,Core Customer Base
55,Female,50,43000,45,0,Core Customer Base
56,Male,47,43000,41,0,Core Customer Base
57,Female,51,44000,50,0,Core Customer Base
58,Male,69,44000,46,0,Core Customer Base
59,Female,27,46000,51,0,Core Customer Base
60,Male,53,46000,46,0,Core Customer Base
61,Male,70,46000,56,0,Core Customer Base
62,Male,19,46000,55,0,Core Customer Base
63,Female,67,47000,52,0,Core Customer Base
64,Female,54,47000,59,0,Core Customer Base
65,Male,63,48000,51,0,Core Customer Base
66,Male,18,48000,59,0,Core Customer Base
67,Female,43,48000,50,0,Core Customer Base
68,Female,68,48000,48,0,Core Customer Base
69,Male,19,48000,59,0,Core Customer Base
70,Female,32,48000,47,0,Core Customer Base
71,Male,70,49000,55,0,Core Customer Base
72,Female,47,49000,42,0,Core Customer Base
73,Female,60,50000,49,0,Core Customer Base
74,Female,60,50000,56,0,Core Customer Base
75,Male,59,54000,47,0,Core Customer Base
76,Male,26,54000,54,0,Core Customer Base
77,Female,45,54000,53,0,Core Customer Base
78,Male,40,54000,48,0,Core Customer Base
79,Female,23,54000,52,0,Core Customer Base
80,Female,49,54000,42,0,Core Customer Base
81,Male,57,54000,51,0,Core Customer Base
82,Male,38,54000,55,0,Core Customer Base
83,Male,67,54000,41,0,Core Customer Base
84,Female,46,54000,44,0,Core Customer Base
85,Female,21,54000,57,0,Core Customer Base
86,Male,48,54000,46,0,Core Customer Base
87,Female,55,57000,58,0,Core Customer Base
88,Female,22,57000,55,0,Core Customer Base
89,Female,34,58000,60,0,Core Customer Base
90,Female,50,58000,46,0,Core Customer Base
91,Female,68,59000,55,0,Core Customer Base
92,Male,18,59000,41,0,Core Customer Base
93,Male,48,60000,49,0,Core Customer Base
94,Female,40,60000,40,0,Core Customer Base
95,Female,32,60000,42,0,Core Customer Base
96,Male,24,60000,52,0,Core Customer Base
97,Female,47,60000,47,0,Core Customer Base
98,Female,27,60000,50,0,Core Customer Base
99,Male,48,61000,42,0,Core Customer Base
100,Male,20,61000,49,0,Core Customer Base
101,Female,23,62000,41,0,Core Customer Base
102,Female,49,62000,48,0,Core Customer Base
103,Male,67,62000,59,0,Core Customer Base
104,Male,26,62000,55,0,Core Customer Base
105,Male,49,62000,56,0,Core Customer Base
106,Female,21,62000,42,0,Core Customer Base
107,Female,66,63000,50,0,Core Customer Base
108,Male,54,63000,46,0,Core Customer Base
109,Male,68,63000,43,0,Core Customer Base
110,Male,66,63000,48,0,Core Customer Base
111,Male,65,63000,52,0,Core Customer Base
112,Female,19,63000,54,0,Core Customer Base
113,Female,38,64000,42,0,Core Customer Base
114,Male,19,64000,46,0,Core Customer Base
115,Female,18,65000,48,0,Core Customer Base
116,Female,19,65000,50,0,Core Customer Base
117,Female,63,65000,43,0,Core Customer Base
118,Female,49,65000,59,0,Core Customer Base
119,Female,51,67000,43,0,Core Customer Base
120,Female,50,67000,57,0,Core Customer Base
121,Male,27,67000,56,0,Core Customer Base
122,Female,38,67000,40,0,Core Customer Base
123,Female,40,69000,58,0,Core Customer Base
127,Male,43,71000,35,0,Core Customer Base
133,Female,25,72000,34,0,Core Customer Base
143,Female,28,76000,40,0,Core Customer Base
